DataKey,true_totEarNum,predicted_totEarNum,predicted_std_totEarNum
202404251118_19,422.0,424.50476,5.0966907
202404251118_19,422.0,428.79596,5.0218115
202404251118_19,422.0,428.64954,5.2875786
202404251118_19,422.0,427.692,5.1077704
202404251118_19,422.0,424.8254,5.0572205
202404251118_19,422.0,392.52133,5.4327755
202404251118_19,422.0,433.47,5.2408323
202404251118_2,397.0,393.97034,4.841015
202404251118_2,397.0,392.28845,4.854609
202404251118_2,397.0,372.27216,4.812916
202404251118_2,397.0,383.35294,4.8447466
202404251118_2,397.0,388.91965,4.835077
202404251118_2,397.0,385.37216,4.8042593
202404251118_2,397.0,394.2141,4.89677
202404251118_2,397.0,388.6144,4.8425035
202404251118_2,397.0,382.717,4.872667
202404251118_2,397.0,349.32388,4.959059
202404251118_2,397.0,357.4383,4.723619
202404251118_2,397.0,363.88583,4.8165617
202404251118_2,397.0,355.7038,4.7826133
202404251118_2,397.0,372.01974,4.8827415
202404251118_2,397.0,358.65402,4.751267
202404251118_2,397.0,367.40588,4.8177323
202404251118_2,397.0,382.02423,4.8772774
202404251118_2,397.0,367.9809,4.836238
202404251118_2,397.0,372.86298,4.8910556
202404251118_2,397.0,349.7846,5.0058503
202404251118_20,400.0,417.87045,4.9225216
202404251118_20,400.0,400.25394,4.825771
202404251118_20,400.0,410.18335,4.9695754
202404251118_20,400.0,396.4815,4.8465095
202404251118_20,400.0,415.99896,4.9546914
202404251118_20,400.0,401.17334,4.8591757
202404251118_20,400.0,426.30096,5.0623264
202404251118_20,400.0,398.19138,4.834737
202404251118_20,400.0,398.05396,5.012823
202404251118_20,400.0,410.56427,5.0620303
202404251118_20,400.0,409.84512,4.9368277
202404251118_20,400.0,414.31262,4.89388
202404251118_20,400.0,412.56073,5.0069814
202404251118_20,400.0,409.75858,4.918262
202404251118_20,400.0,411.83603,4.971792
202404251118_20,400.0,405.2689,4.8549275
202404251118_20,400.0,406.72766,4.8697414
202404251118_20,400.0,411.09607,4.8956757
202404251118_20,400.0,364.79352,4.9605985
202404251118_20,400.0,393.25223,5.0269656
202404251118_21,299.0,331.16943,4.6649017
202404251118_21,299.0,332.6935,4.6954875
202404251118_21,299.0,321.15756,4.6837735
202404251118_21,299.0,329.83197,4.7161465
202404251118_21,299.0,327.82925,4.684612
202404251118_21,299.0,329.19354,4.699824
202404251118_21,299.0,337.3978,4.7987113
