DataKey,true_days,predicted_days,predicted_std_days
202404251118_20,176.0,178.20135,3.269982
202404251118_21,176.0,177.39096,3.2420485
202404251118_21,176.0,176.28207,3.235475
202404251118_21,176.0,176.77335,3.234205
202404251118_21,176.0,174.90834,3.2186174
202404251118_21,176.0,176.44073,3.2348895
202404251118_21,176.0,175.19203,3.2244105
202404251118_21,176.0,176.19106,3.2397861
202404251118_21,176.0,175.05556,3.2242389
202404251118_21,176.0,177.35283,3.2473702
202404251118_21,176.0,179.7214,3.2851062
202404251118_21,176.0,179.08437,3.2765749
202404251118_21,176.0,177.7987,3.2680447
202404251118_21,176.0,177.37015,3.2556915
202404251118_21,176.0,176.21114,3.2489414
202404251118_21,176.0,178.05682,3.2662587
202404251118_21,176.0,177.09795,3.2584112
202404251118_21,176.0,176.8812,3.255367
202404251118_21,176.0,176.81699,3.2575219
202404251118_21,176.0,176.05544,3.2502038
202404251118_21,176.0,178.1998,3.2765498
202404251118_22,176.0,178.5371,3.2388763
202404251118_22,176.0,178.54028,3.2499936
202404251118_22,176.0,176.44247,3.2257972
202404251118_22,176.0,176.0616,3.2302625
202404251118_22,176.0,177.28284,3.2312071
202404251118_22,176.0,176.6421,3.2287889
202404251118_22,176.0,178.27435,3.2548273
202404251118_22,176.0,177.21901,3.240151
202404251118_22,176.0,176.95743,3.235622
202404251118_22,176.0,179.4924,3.2710433
202404251118_22,176.0,178.39647,3.244615
202404251118_22,176.0,179.13951,3.2615757
202404251118_22,176.0,176.15535,3.2329538
202404251118_22,176.0,176.86365,3.246978
202404251118_22,176.0,177.12181,3.2380672
202404251118_22,176.0,180.1336,3.2624283
202404251118_22,176.0,179.90373,3.2715733
202404251118_22,176.0,177.61098,3.25052
202404251118_22,176.0,177.44357,3.2528832
202404251118_22,176.0,178.7927,3.2674396
202404251118_23,176.0,178.60907,3.2574239
202404251118_23,176.0,178.02536,3.2585745
