DataKey,true_totalSeedWeightAfterDry,predicted_totalSeedWeightAfterDry,predicted_std_totalSeedWeightAfterDry
202404251118_23,158.77,174.28136,3.0822496
202404251118_23,158.77,148.91914,3.2489717
202404251118_24,124.28,116.40541,2.759593
202404251118_24,124.28,111.14827,2.678148
202404251118_24,124.28,111.04573,2.768602
202404251118_24,124.28,109.731544,2.692823
202404251118_24,124.28,114.08169,2.7595136
202404251118_24,124.28,106.69011,2.6422591
202404251118_24,124.28,97.77565,2.5633616
202404251118_24,124.28,110.049355,2.6802225
202404251118_24,124.28,106.88953,2.7306867
202404251118_24,124.28,85.22326,2.4755194
202404251118_24,124.28,122.15708,2.7543585
202404251118_24,124.28,108.04994,2.606736
202404251118_24,124.28,119.00612,2.7459123
202404251118_24,124.28,109.47318,2.6440365
202404251118_24,124.28,120.55865,2.7419717
202404251118_24,124.28,104.22096,2.648899
202404251118_24,124.28,97.65952,2.5173268
202404251118_24,124.28,108.04994,2.6171732
202404251118_24,124.28,147.50266,3.0241194
202404251118_24,124.28,91.51463,2.5127447
202404251118_25,149.78,141.71562,2.8270333
202404251118_25,149.78,145.9814,2.8681972
202404251118_25,149.78,146.73381,2.933218
202404251118_25,149.78,148.59366,2.9634135
202404251118_25,149.78,145.07233,2.8770735
202404251118_25,149.78,150.25548,2.9092855
202404251118_25,149.78,156.68257,3.0408545
202404251118_25,149.78,146.93033,2.9056106
202404251118_25,149.78,147.67062,2.9630404
202404251118_25,149.78,159.13893,3.2426193
202404251118_25,149.78,151.23792,2.969121
202404251118_25,149.78,155.77586,3.0024147
202404251118_25,149.78,145.48378,2.9622633
202404251118_25,149.78,151.60635,3.0140913
202404251118_25,149.78,148.23695,2.9573498
202404251118_25,149.78,150.7534,2.9943368
202404251118_25,149.78,149.2791,2.9832304
202404251118_25,149.78,153.73602,3.0104158
202404251118_25,149.78,158.20479,3.0877173
202404251118_25,149.78,173.1875,3.3076172
202404251118_26,205.31,197.42226,3.2373698
202404251118_26,205.31,198.27841,3.2324343
202404251118_26,205.31,197.08536,3.259837
202404251118_26,205.31,200.37767,3.3067095
202404251118_26,205.31,197.57327,3.2509398
202404251118_26,205.31,203.20691,3.2597904
202404251118_26,205.31,203.84799,3.3088367
202404251118_26,205.31,199.65381,3.2704096
202404251118_26,205.31,205.22197,3.484965
202404251118_26,205.31,183.50731,3.3723288
202404251118_26,205.31,188.4766,3.1898918
202404251118_26,205.31,193.2229,3.1931946
202404251118_26,205.31,191.61703,3.2212312
202404251118_26,205.31,199.66061,3.310528
202404251118_26,205.31,190.79155,3.1958342
202404251118_26,205.31,195.57234,3.2065587
202404251118_26,205.31,194.72867,3.2665422
202404251118_26,205.31,194.99207,3.2336204
202404251118_26,205.31,187.76404,3.2751458
202404251118_26,205.31,178.15125,3.199929
202404251118_27,138.13,128.75203,2.7341814
202404251118_27,138.13,126.92675,2.776691
202404251118_27,138.13,127.03382,2.733722
202404251118_27,138.13,129.17776,2.7685323
202404251118_27,138.13,128.83083,2.7343824
202404251118_27,138.13,128.66649,2.764389
202404251118_27,138.13,131.98138,2.8268642
202404251118_27,138.13,130.39644,2.8014865
202404251118_27,138.13,133.73077,2.8893793
202404251118_27,138.13,121.21056,2.9497666
202404251118_27,138.13,128.6236,2.723676
202404251118_27,138.13,132.78865,2.7369006
202404251118_27,138.13,128.22153,2.759971
202404251118_27,138.13,131.47546,2.757044
202404251118_27,138.13,130.02444,2.758403
202404251118_27,138.13,131.07451,2.7833545
202404251118_27,138.13,131.95908,2.7689202
202404251118_27,138.13,132.07594,2.7449205
202404251118_27,138.13,135.05676,2.843101
202404251118_27,138.13,128.10619,2.8767335
202404251118_28,136.25,129.59929,2.7454798
202404251118_28,136.25,130.00389,2.7343812
202404251118_28,136.25,128.89548,2.775037
202404251118_28,136.25,129.9077,2.745513
202404251118_28,136.25,130.42773,2.7754931
202404251118_28,136.25,129.51166,2.7397864
202404251118_28,136.25,126.583664,2.7067673
202404251118_28,136.25,130.06703,2.7407315
202404251118_28,136.25,133.5658,2.89632
202404251118_28,136.25,132.27357,2.9669216
202404251118_28,136.25,123.44116,2.7814333
202404251118_28,136.25,133.24043,2.830461
202404251118_28,136.25,125.85125,2.83898
202404251118_28,136.25,131.13994,2.8549097
202404251118_28,136.25,125.30938,2.8158922
202404251118_28,136.25,132.2784,2.8445337
202404251118_28,136.25,134.53496,2.8968074
202404251118_28,136.25,133.22911,2.8448858
202404251118_28,136.25,126.892525,2.7532282
202404251118_28,136.25,143.06674,2.9732008
202404251118_29,173.44,156.03561,2.93058
202404251118_29,173.44,173.8191,3.0336847
202404251118_29,173.44,164.373,3.0157745
202404251118_29,173.44,173.2103,3.0874388
202404251118_29,173.44,159.90416,2.9662435
202404251118_29,173.44,174.77643,3.0423255
202404251118_29,173.44,162.24596,2.986222
202404251118_29,173.44,173.8605,3.0571918
202404251118_29,173.44,180.21866,3.209565
202404251118_29,173.44,191.8403,3.442861
202404251118_29,173.44,175.11372,3.096168
202404251118_29,173.44,172.6457,3.0770962
202404251118_29,173.44,173.46443,3.143122
202404251118_29,173.44,174.42027,3.1456153
202404251118_29,173.44,174.61366,3.1170828
202404251118_29,173.44,179.42279,3.1298244
202404251118_29,173.44,168.9196,3.1245985
202404251118_29,173.44,174.68648,3.1152537
202404251118_29,173.44,160.08409,3.0253277
202404251118_29,173.44,175.65793,3.5245326
202404251118_3,104.59,109.75185,2.4530573
202404251118_3,104.59,102.56934,2.4137428
202404251118_3,104.59,106.923805,2.4701986
202404251118_3,104.59,100.767204,2.435468
202404251118_3,104.59,109.11251,2.4602168
202404251118_3,104.59,99.01001,2.3689125
202404251118_3,104.59,99.819984,2.4490707
202404251118_3,104.59,103.58605,2.4401352
202404251118_3,104.59,108.17652,2.6001651
202404251118_3,104.59,95.181946,2.5056648
202404251118_3,104.59,99.24367,2.4266846
202404251118_3,104.59,98.84504,2.4680834
202404251118_3,104.59,101.84315,2.481346
202404251118_3,104.59,97.90755,2.47148
202404251118_3,104.59,101.34425,2.4542525
202404251118_3,104.59,96.69062,2.456515
202404251118_3,104.59,95.018585,2.48674
202404251118_3,104.59,99.2767,2.4774933
202404251118_3,104.59,103.675644,2.6457274
202404251118_3,104.59,92.71755,2.5286136
202404251118_30,242.44,251.84615,3.9245088
202404251118_30,242.44,238.57306,3.7955132
202404251118_30,242.44,247.17438,3.8728187
202404251118_30,242.44,228.46227,3.7259152
202404251118_30,242.44,252.75807,3.9295063
202404251118_30,242.44,242.12547,3.8899276
202404251118_30,242.44,230.7851,3.7244406
202404251118_30,242.44,235.1844,3.7677724
202404251118_30,242.44,235.28957,3.9470618
202404251118_30,242.44,241.87735,3.9531455
202404251118_30,242.44,243.2244,3.7985735
202404251118_30,242.44,243.05519,3.81321
202404251118_30,242.44,235.57553,3.6998837
202404251118_30,242.44,235.36168,3.731311
202404251118_30,242.44,242.09895,3.7816865
202404251118_30,242.44,238.34552,3.7536435
202404251118_30,242.44,229.81462,3.6877868
202404251118_30,242.44,240.66054,3.788227
202404251118_30,242.44,226.44307,3.8874123
202404251118_30,242.44,238.60033,3.8686247
202404251118_31,148.71,140.6787,2.9560227
202404251118_31,148.71,142.58513,2.9374635
202404251118_31,148.71,142.4609,2.999068
202404251118_31,148.71,147.12355,3.0043125
202404251118_31,148.71,145.25452,2.9933524
202404251118_31,148.71,148.05092,3.0044336
202404251118_31,148.71,141.15295,3.020263
202404251118_31,148.71,144.45146,2.9600196
202404251118_31,148.71,152.86334,3.1335866
202404251118_31,148.71,149.0664,3.2212837
202404251118_31,148.71,147.46506,2.877585
202404251118_31,148.71,138.25865,2.8312426
202404251118_31,148.71,141.08806,2.8443353
202404251118_31,148.71,140.9107,2.8840756
202404251118_31,148.71,146.69022,2.8701222
202404251118_31,148.71,137.44276,2.8711607
202404251118_31,148.71,143.8578,2.9227548
202404251118_31,148.71,139.51562,2.8549972
202404251118_31,148.71,137.99155,2.7471132
202404251118_31,148.71,163.97885,3.2978961
202404251118_32,144.22,139.3321,2.832649
202404251118_32,144.22,142.73314,2.8826797
202404251118_32,144.22,137.4352,2.857963
202404251118_32,144.22,139.20065,2.8881285
202404251118_32,144.22,138.19125,2.8372607
202404251118_32,144.22,141.0345,2.867191
202404251118_32,144.22,150.99046,2.9626284
202404251118_32,144.22,140.07,2.875248
202404251118_32,144.22,167.45297,3.2640808
202404251118_32,144.22,156.36575,3.290116
202404251118_32,144.22,134.65817,2.8423471
202404251118_32,144.22,143.24348,2.9074757
202404251118_32,144.22,132.99492,2.876303
202404251118_32,144.22,137.9486,2.8683853
202404251118_32,144.22,134.12167,2.8635714
202404251118_32,144.22,140.851,2.9220796
202404251118_32,144.22,137.12358,2.889233
202404251118_32,144.22,139.56375,2.87839
202404251118_32,144.22,143.27193,3.1493092
202404251118_32,144.22,141.81908,3.1168523
202404251118_33,84.68,81.79143,2.2799644
202404251118_33,84.68,82.74408,2.3259838
202404251118_33,84.68,79.99817,2.3049126
202404251118_33,84.68,81.01845,2.3306615
202404251118_33,84.68,80.633545,2.2885706
202404251118_33,84.68,81.3327,2.3209033
