DataKey,true_LAI,predicted_LAI,predicted_std_LAI
202404251118_14,2.942,2.8414006,0.46403277
202404251118_15,2.786,2.542423,0.41072136
202404251118_15,2.786,2.6311588,0.41269463
202404251118_15,2.786,2.5993035,0.42096418
202404251118_15,2.786,2.656888,0.41675428
202404251118_15,2.786,2.5713787,0.41372347
202404251118_15,2.786,2.6376755,0.4148915
202404251118_15,2.786,2.6406686,0.42205143
202404251118_15,2.786,2.647706,0.41466495
202404251118_15,2.786,2.5600562,0.4139773
202404251118_15,2.786,2.705116,0.45153874
202404251118_15,2.786,2.53783,0.40351218
202404251118_15,2.786,2.620755,0.41304374
202404251118_15,2.786,2.55024,0.41019532
202404251118_15,2.786,2.6032944,0.413526
202404251118_15,2.786,2.5411882,0.40546072
202404251118_15,2.786,2.6368418,0.4192804
202404251118_15,2.786,2.596396,0.40818283
202404251118_15,2.786,2.6168904,0.41230235
202404251118_15,2.786,2.5294456,0.3963876
202404251118_15,2.786,2.7009084,0.44864914
202404251118_16,2.4205,2.2736268,0.38131928
202404251118_16,2.4205,2.3467157,0.38907173
202404251118_16,2.4205,2.2987494,0.37994257
202404251118_16,2.4205,2.3797545,0.39012894
202404251118_16,2.4205,2.301036,0.38115758
202404251118_16,2.4205,2.4173336,0.39281085
202404251118_16,2.4205,2.3051748,0.3824201
202404251118_16,2.4205,2.3703911,0.39003256
202404251118_16,2.4205,2.2714872,0.38694853
202404251118_16,2.4205,2.3807673,0.4087905
202404251118_16,2.4205,2.3263516,0.37022012
202404251118_16,2.4205,2.2573526,0.38143307
202404251118_16,2.4205,2.3491004,0.37377807
202404251118_16,2.4205,2.2639642,0.38295254
202404251118_16,2.4205,2.3452356,0.371222
202404251118_16,2.4205,2.2539232,0.388369
202404251118_16,2.4205,2.2608817,0.37890518
202404251118_16,2.4205,2.2604263,0.38060188
202404251118_16,2.4205,2.3037963,0.38728976
202404251118_16,2.4205,2.4258034,0.41619992
202404251118_17,1.968,1.7455461,0.3129002
202404251118_17,1.968,1.8146582,0.31602177
202404251118_17,1.968,1.7740555,0.32295898
202404251118_17,1.968,1.8082011,0.3192809
202404251118_17,1.968,1.7558849,0.31623158
202404251118_17,1.968,1.8039467,0.3168485
202404251118_17,1.968,1.802063,0.31495327
202404251118_17,1.968,1.8125432,0.3174026
202404251118_17,1.968,1.7981658,0.33795467
202404251118_17,1.968,1.8206587,0.33755505
202404251118_17,1.968,1.7741861,0.34326252
202404251118_17,1.968,1.8077011,0.32570142
202404251118_17,1.968,1.74824,0.3346225
202404251118_17,1.968,1.8064673,0.33151093
202404251118_17,1.968,1.7680888,0.34103703
202404251118_17,1.968,1.8070168,0.32948965
202404251118_17,1.968,1.7999296,0.32973266
202404251118_17,1.968,1.8076904,0.32823566
202404251118_17,1.968,1.8372457,0.33134255
202404251118_17,1.968,1.837918,0.35401174
202404251118_18,1.761,1.6962333,0.3237247
202404251118_18,1.761,1.601238,0.30509838
202404251118_18,1.761,1.6741621,0.32167026
202404251118_18,1.761,1.6068187,0.3069963
202404251118_18,1.761,1.6922438,0.3227453
202404251118_18,1.761,1.6012032,0.3153506
202404251118_18,1.761,1.5818117,0.3058813
202404251118_18,1.761,1.605618,0.30586648
202404251118_18,1.761,1.6518753,0.312614
202404251118_18,1.761,1.5954287,0.3134849
202404251118_18,1.761,1.7476568,0.3260666
202404251118_18,1.761,1.6457646,0.3156229
202404251118_18,1.761,1.6950462,0.31899908
202404251118_18,1.761,1.6074326,0.31161207
202404251118_18,1.761,1.7314932,0.32189766
202404251118_18,1.761,1.5850158,0.31865883
202404251118_18,1.761,1.6177759,0.31167668
202404251118_18,1.761,1.6278999,0.31152272
202404251118_18,1.761,1.6854889,0.32340387
202404251118_18,1.761,1.6723793,0.33150914
202404251118_19,1.6915,1.5610375,0.3217966
202404251118_19,1.6915,1.577549,0.32326126
202404251118_19,1.6915,1.5711229,0.32067043
202404251118_19,1.6915,1.6090777,0.32315448
202404251118_19,1.6915,1.5626395,0.32003924
202404251118_19,1.6915,1.5973532,0.321944
202404251118_19,1.6915,1.6495023,0.32587248
202404251118_19,1.6915,1.5829341,0.32276732
202404251118_19,1.6915,1.5976703,0.3173632
202404251118_19,1.6915,1.6459484,0.34438163
