DataKey,true_Height,predicted_Height,predicted_std_Height
202404251118_114,72.5,79.12533,2.250841
202404251118_114,72.5,73.75619,2.1537688
202404251118_114,72.5,76.98754,2.195038
202404251118_12,57.9,59.541576,1.924267
202404251118_12,57.9,55.98543,1.8619179
202404251118_12,57.9,57.823975,1.8958095
202404251118_12,57.9,55.314533,1.8523217
202404251118_12,57.9,58.97734,1.9149401
202404251118_12,57.9,57.53932,1.8826159
202404251118_12,57.9,55.891506,1.858888
202404251118_12,57.9,55.911797,1.861771
202404251118_12,57.9,57.13665,1.8842113
202404251118_12,57.9,57.701736,1.8919642
202404251118_12,57.9,55.563755,1.8551319
202404251118_12,57.9,55.92135,1.857741
202404251118_12,57.9,55.44983,1.8550413
202404251118_12,57.9,56.085392,1.8616127
202404251118_12,57.9,55.45466,1.8544216
202404251118_12,57.9,56.458523,1.8665663
202404251118_12,57.9,55.71555,1.8542011
202404251118_12,57.9,55.889236,1.8578814
202404251118_12,57.9,56.089058,1.8674027
202404251118_12,57.9,56.13736,1.8654392
202404251118_13,54.5,52.865536,1.8258507
202404251118_13,54.5,54.187447,1.8449169
202404251118_13,54.5,53.057083,1.8254968
202404251118_13,54.5,53.389843,1.8258352
202404251118_13,54.5,52.783962,1.8232511
202404251118_13,54.5,52.939487,1.8230377
202404251118_13,54.5,54.08178,1.8412017
202404251118_13,54.5,53.50145,1.8315394
202404251118_13,54.5,55.893703,1.8676095
202404251118_13,54.5,54.383022,1.8429961
202404251118_13,54.5,54.211933,1.8407148
202404251118_13,54.5,56.298187,1.876019
202404251118_13,54.5,53.375023,1.826172
202404251118_13,54.5,55.916904,1.8672289
202404251118_13,54.5,53.577503,1.8301256
202404251118_13,54.5,55.96119,1.8656855
202404251118_13,54.5,59.79361,1.9295545
202404251118_13,54.5,55.714424,1.8655509
202404251118_13,54.5,53.02841,1.82109
202404251118_13,54.5,56.75678,1.8782084
202404251118_14,53.7,52.295925,1.808611
202404251118_14,53.7,52.894165,1.8135406
202404251118_14,53.7,52.366295,1.8100729
202404251118_14,53.7,52.734802,1.8107444
202404251118_14,53.7,52.203293,1.8080063
202404251118_14,53.7,54.2749,1.8315737
202404251118_14,53.7,53.27653,1.816331
202404251118_14,53.7,52.71682,1.8109808
202404251118_14,53.7,49.9793,1.7680665
202404251118_14,53.7,53.22159,1.8163123
202404251118_14,53.7,53.78433,1.8301942
202404251118_14,53.7,53.06238,1.8175428
202404251118_14,53.7,54.349354,1.8390068
202404251118_14,53.7,53.134926,1.8184328
202404251118_14,53.7,54.188183,1.8361536
202404251118_14,53.7,52.914635,1.8153226
202404251118_14,53.7,53.79433,1.8291681
202404251118_14,53.7,52.973034,1.816021
202404251118_14,53.7,50.78983,1.7816446
202404251118_14,53.7,52.901775,1.8092824
202404251118_15,61.1,63.542984,1.9792825
202404251118_15,61.1,63.49791,1.992068
202404251118_15,61.1,60.916367,1.9397374
202404251118_15,61.1,61.159554,1.9485674
202404251118_15,61.1,62.187065,1.9579544
202404251118_15,61.1,64.65576,2.0108538
202404251118_15,61.1,64.71761,2.009184
202404251118_15,61.1,62.40093,1.9721615
202404251118_15,61.1,58.463226,1.9016155
202404251118_15,61.1,61.530193,1.9384624
202404251118_15,61.1,60.09207,1.9291087
202404251118_15,61.1,63.995876,1.9960617
202404251118_15,61.1,59.679924,1.9227681
202404251118_15,61.1,62.141792,1.9652392
202404251118_15,61.1,59.390347,1.9173889
202404251118_15,61.1,61.183094,1.9440448
202404251118_15,61.1,66.13469,2.0296276
202404251118_15,61.1,63.040173,1.9805055
202404251118_15,61.1,61.476887,1.9493945
202404251118_15,61.1,62.095325,1.9574502
202404251118_16,52.0,50.89042,1.7779768
202404251118_16,52.0,51.437737,1.7895885
202404251118_16,52.0,50.65654,1.7729132
202404251118_16,52.0,51.496532,1.7884252
202404251118_16,52.0,50.337162,1.7687393
202404251118_16,52.0,52.274487,1.7991813
202404251118_16,52.0,50.962708,1.7808688
202404251118_16,52.0,51.391106,1.7883133
202404251118_16,52.0,51.959538,1.789869
202404251118_16,52.0,53.79428,1.8215015
202404251118_16,52.0,52.273155,1.7959275
202404251118_16,52.0,52.395546,1.7980564
202404251118_16,52.0,52.098663,1.7926054
202404251118_16,52.0,52.078197,1.7912685
202404251118_16,52.0,52.0075,1.7913303
202404251118_16,52.0,52.27104,1.7947068
202404251118_16,52.0,51.783752,1.7881807
202404251118_16,52.0,52.112316,1.7927334
202404251118_16,52.0,52.544907,1.7976583
202404251118_16,52.0,53.94951,1.818297
202404251118_17,53.4,52.534275,1.8183444
202404251118_17,53.4,51.831604,1.8055053
202404251118_17,53.4,52.056595,1.8113008
202404251118_17,53.4,51.151226,1.7924597
202404251118_17,53.4,52.14266,1.8136303
202404251118_17,53.4,51.13011,1.7875394
202404251118_17,53.4,52.94242,1.8163582
202404251118_17,53.4,51.192436,1.7950258
202404251118_17,53.4,54.002316,1.8393022
202404251118_17,53.4,55.447975,1.8519398
202404251118_17,53.4,53.082825,1.8205045
202404251118_17,53.4,52.0902,1.8058623
202404251118_17,53.4,52.737648,1.8130249
202404251118_17,53.4,51.84703,1.7996105
202404251118_17,53.4,52.77728,1.815174
202404251118_17,53.4,52.924957,1.8105614
202404251118_17,53.4,52.581326,1.8119011
202404251118_17,53.4,51.552616,1.7967857
202404251118_17,53.4,55.512474,1.8628805
202404251118_17,53.4,54.62401,1.8437626
202404251118_18,52.1,52.723003,1.8167447
202404251118_18,52.1,48.740864,1.751083
202404251118_18,52.1,51.508694,1.7949518
202404251118_18,52.1,48.56585,1.7462105
202404251118_18,52.1,52.16546,1.8068339
202404251118_18,52.1,48.690357,1.7445021
202404251118_18,52.1,49.87819,1.766133
202404251118_18,52.1,48.57928,1.7476714
202404251118_18,52.1,52.01431,1.8114778
202404251118_18,52.1,51.353775,1.7891177
202404251118_18,52.1,52.13309,1.8017596
202404251118_18,52.1,49.577866,1.7575963
202404251118_18,52.1,51.53231,1.7915186
202404251118_18,52.1,49.402103,1.7537158
202404251118_18,52.1,51.717407,1.7947731
202404251118_18,52.1,50.077297,1.7615185
202404251118_18,52.1,50.72397,1.7746872
202404251118_18,52.1,49.261745,1.7519836
202404251118_18,52.1,50.086876,1.7741235
202404251118_18,52.1,53.52409,1.8223039
202404251118_19,56.7,57.613956,1.8897054
202404251118_19,56.7,58.12207,1.8937076
202404251118_19,56.7,57.03768,1.8801155
202404251118_19,56.7,56.091366,1.860521
202404251118_19,56.7,57.295887,1.8848917
202404251118_19,56.7,56.169636,1.8573527
202404251118_19,56.7,55.53375,1.8553994
202404251118_19,56.7,57.070786,1.8776052
202404251118_19,56.7,58.428814,1.9020505
202404251118_19,56.7,61.61191,1.9457036
202404251118_19,56.7,58.56583,1.9018012
202404251118_19,56.7,55.730545,1.8524559
202404251118_19,56.7,58.71173,1.9100726
202404251118_19,56.7,56.761463,1.8740011
202404251118_19,56.7,58.325974,1.9001846
202404251118_19,56.7,56.14557,1.8535968
202404251118_19,56.7,59.03202,1.9046947
202404251118_19,56.7,55.87706,1.8569971
202404251118_19,56.7,58.170837,1.9015051
202404251118_19,56.7,59.830715,1.9165983
202404251118_2,55.1,52.617603,1.8153529
202404251118_2,55.1,52.524754,1.8115635
202404251118_2,55.1,51.674442,1.8015175
202404251118_2,55.1,52.236107,1.8076497
202404251118_2,55.1,52.005104,1.8061681
202404251118_2,55.1,52.34404,1.8063838
202404251118_2,55.1,52.347343,1.8066471
202404251118_2,55.1,52.22808,1.8072804
202404251118_2,55.1,53.340794,1.8272754
202404251118_2,55.1,52.700836,1.8087188
202404251118_2,55.1,53.610783,1.827577
202404251118_2,55.1,53.05585,1.8143926
202404251118_2,55.1,53.322865,1.8239541
202404251118_2,55.1,52.885612,1.8117853
202404251118_2,55.1,53.23891,1.8222156
202404251118_2,55.1,53.256836,1.8170189
202404251118_2,55.1,55.028137,1.8455784
202404251118_2,55.1,52.725006,1.8094281
202404251118_2,55.1,54.488617,1.8407736
202404251118_2,55.1,53.183052,1.8117824
202404251118_20,54.9,59.581165,1.9253302
202404251118_20,54.9,54.5427,1.8423234
202404251118_20,54.9,59.178173,1.9150573
202404251118_20,54.9,53.1576,1.8186527
202404251118_20,54.9,59.184288,1.9183278
202404251118_20,54.9,54.254704,1.8336371
202404251118_20,54.9,53.81136,1.826517
202404251118_20,54.9,53.806915,1.8302679
202404251118_20,54.9,54.281246,1.8355662
