DataKey,label,(times),DATE,SPAD,LAI,oldTotEarNum,totEarWeight,totEarNum,totalSeedNum,totalSeedWeightBeforeDry,totalSeedWeightAfterDry
202503210851_33,33,2,21/3/2025,52.6,,448,648.27,284,10003,400,400
202503210851_34,34,2,21/3/2025,52.3,,311,637.96,279,8979,332.6,332.6
202503210851_35,35,2,21/3/2025,49.7,,397,845.38,370,13305,499.3,499.3
202503210851_36,36,2,21/3/2025,54.0,,367,594.23,260,9285,332.5,332.5
202503210851_37,37,2,21/3/2025,61.2,,312,698.66,306,9013,375.9,375.9
202503210851_38,38,2,21/3/2025,57.0,,391,591.29,259,9243,381,381
202503210851_39,39,2,21/3/2025,51.7,,245,567.4,248,18379,723.5,723.5
202503210851_40,40,2,21/3/2025,55.9,,309,841.91,368,9991,411,411
202503210851_41,41,2,21/3/2025,53.5,,397,1124.94,492,11808,484.4,484.4
202503210851_42,42,2,21/3/2025,49.4,,209,514.68,225,7241,270.8,270.8
202503210851_43,43,2,21/3/2025,46.5,,413,798.73,350,11845,473.8,473.8
202503210851_44,44,2,21/3/2025,50.9,,212,461.12,202,7199,276.2,276.2
202503210851_45,45,2,21/3/2025,46.3,,453,668.91,293,18130,728.9,728.9
202503210851_46,46,2,21/3/2025,56.1,,357,706.24,309,10792,376.7,376.7
202503210851_47,47,2,21/3/2025,43.1,,360,968.87,424,14939,561.7,561.7
202503210851_48,48,2,21/3/2025,46.7,,287,790,346,13025,504.3,504.3
202503210851_49,49,2,21/3/2025,54.1,,321,867,379,12236,483.9,483.9
202503210851_50,50,2,21/3/2025,51.9,,288,985.59,431,14786,586.9,586.9
202503210851_51,51,2,21/3/2025,49.7,,420,957.22,419,14298,556.5,556.5
202503210851_52,52,2,21/3/2025,51.3,,369,791.43,346,9911,402.8,402.8
202503210851_53,53,2,21/3/2025,48.3,,409,823.26,360,11703,477,477
202503210851_54,54,2,21/3/2025,52.6,,343,733.45,321,11065,428.4,428.4
202503210851_55,55,2,21/3/2025,52.5,,373,737.68,323,12514,528.2,528.2
202503210851_56,56,2,21/3/2025,52.7,,330,874.83,383,11094,456.3,456.3
